,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,1003,134,0.125,0.21875,0.0625,0.53125,0.03125,0.03125
1,2009,203,0.25,0.3409090909090909,0.022727272727272728,0.3181818181818182,0.022727272727272728,0.045454545454545456
2,3015,280,0.2564102564102564,0.5641025641025641,0.02564102564102564,0.10256410256410256,0.02564102564102564,0.02564102564102564
3,4022,347,0.37735849056603776,0.5283018867924528,0.018867924528301886,0.03773584905660377,0.018867924528301886,0.018867924528301886
4,5026,388,0.27586206896551724,0.6379310344827587,0.017241379310344827,0.034482758620689655,0.017241379310344827,0.017241379310344827
5,6031,419,0.24615384615384617,0.6615384615384615,0.015384615384615385,0.03076923076923077,0.015384615384615385,0.03076923076923077
6,7035,460,0.29850746268656714,0.6119402985074627,0.014925373134328358,0.029850746268656716,0.014925373134328358,0.029850746268656716
7,8040,485,0.2878787878787879,0.5909090909090909,0.015151515151515152,0.030303030303030304,0.015151515151515152,0.06060606060606061
8,9045,510,0.3584905660377358,0.4339622641509434,0.03773584905660377,0.03773584905660377,0.018867924528301886,0.11320754716981132
9,10050,538,0.4626865671641791,0.3283582089552239,0.014925373134328358,0.029850746268656716,0.014925373134328358,0.14925373134328357
10,11154,572,0.45454545454545453,0.3181818181818182,0.015151515151515152,0.030303030303030304,0.015151515151515152,0.16666666666666666
11,12316,659,0.4657534246575342,0.3972602739726027,0.0136986301369863,0.0273972602739726,0.0136986301369863,0.0821917808219178
12,13477,720,0.5454545454545454,0.35064935064935066,0.012987012987012988,0.025974025974025976,0.012987012987012988,0.05194805194805195
13,14640,778,0.6341463414634146,0.25609756097560976,0.024390243902439025,0.024390243902439025,0.012195121951219513,0.04878048780487805
14,15803,828,0.7241379310344828,0.1839080459770115,0.022988505747126436,0.022988505747126436,0.011494252873563218,0.034482758620689655
15,16966,901,0.8095238095238095,0.13095238095238096,0.011904761904761904,0.023809523809523808,0.011904761904761904,0.011904761904761904
16,18130,960,0.8222222222222222,0.12222222222222222,0.011111111111111112,0.022222222222222223,0.011111111111111112,0.011111111111111112
17,19291,1020,0.8426966292134831,0.10112359550561797,0.011235955056179775,0.02247191011235955,0.011235955056179775,0.011235955056179775
18,20454,1055,0.8617021276595744,0.0851063829787234,0.010638297872340425,0.02127659574468085,0.010638297872340425,0.010638297872340425
19,21617,1099,0.86,0.07,0.02,0.02,0.01,0.02
20,22780,1132,0.8777777777777778,0.06666666666666667,0.011111111111111112,0.022222222222222223,0.011111111111111112,0.011111111111111112
21,23942,1167,0.8690476190476191,0.07142857142857142,0.011904761904761904,0.023809523809523808,0.011904761904761904,0.011904761904761904
22,25105,1208,0.8409090909090909,0.10227272727272728,0.011363636363636364,0.022727272727272728,0.011363636363636364,0.011363636363636364
23,26269,1240,0.8690476190476191,0.07142857142857142,0.011904761904761904,0.023809523809523808,0.011904761904761904,0.011904761904761904
24,27432,1264,0.898876404494382,0.0449438202247191,0.011235955056179775,0.02247191011235955,0.011235955056179775,0.011235955056179775
25,28594,1283,0.9021739130434783,0.043478260869565216,0.010869565217391304,0.021739130434782608,0.010869565217391304,0.010869565217391304
26,29756,1304,0.9183673469387755,0.030612244897959183,0.01020408163265306,0.02040816326530612,0.01020408163265306,0.01020408163265306
27,30919,1325,0.9081632653061225,0.04081632653061224,0.01020408163265306,0.02040816326530612,0.01020408163265306,0.01020408163265306
28,32080,1338,0.9029126213592233,0.038834951456310676,0.009708737864077669,0.019417475728155338,0.009708737864077669,0.019417475728155338
29,33244,1357,0.9038461538461539,0.038461538461538464,0.009615384615384616,0.019230769230769232,0.009615384615384616,0.019230769230769232
30,34577,1383,0.9158878504672897,0.028037383177570093,0.009345794392523364,0.018691588785046728,0.009345794392523364,0.018691588785046728
31,35778,1445,0.9174311926605505,0.01834862385321101,0.009174311926605505,0.01834862385321101,0.009174311926605505,0.027522935779816515
32,36979,1500,0.9099099099099099,0.02702702702702703,0.009009009009009009,0.018018018018018018,0.009009009009009009,0.02702702702702703
33,38180,1551,0.9217391304347826,0.017391304347826087,0.008695652173913044,0.017391304347826087,0.008695652173913044,0.02608695652173913
34,39381,1591,0.926605504587156,0.01834862385321101,0.01834862385321101,0.01834862385321101,0.009174311926605505,0.009174311926605505
35,40583,1630,0.9380530973451328,0.017699115044247787,0.008849557522123894,0.017699115044247787,0.008849557522123894,0.008849557522123894
36,41786,1655,0.9396551724137931,0.017241379310344827,0.008620689655172414,0.017241379310344827,0.008620689655172414,0.008620689655172414
37,42989,1684,0.9243697478991597,0.03361344537815126,0.008403361344537815,0.01680672268907563,0.008403361344537815,0.008403361344537815
38,44191,1707,0.9426229508196722,0.01639344262295082,0.00819672131147541,0.01639344262295082,0.00819672131147541,0.00819672131147541
39,45393,1721,0.9435483870967742,0.016129032258064516,0.008064516129032258,0.016129032258064516,0.008064516129032258,0.008064516129032258
40,46594,1745,0.9421487603305785,0.01652892561983471,0.008264462809917356,0.01652892561983471,0.008264462809917356,0.008264462809917356
41,47795,1770,0.9435483870967742,0.016129032258064516,0.008064516129032258,0.016129032258064516,0.008064516129032258,0.008064516129032258
42,48997,1790,0.9421487603305785,0.01652892561983471,0.008264462809917356,0.01652892561983471,0.008264462809917356,0.008264462809917356
43,50199,1810,0.9344262295081968,0.02459016393442623,0.00819672131147541,0.01639344262295082,0.00819672131147541,0.00819672131147541
44,50199,1810,0.9344262295081968,0.02459016393442623,0.00819672131147541,0.01639344262295082,0.00819672131147541,0.00819672131147541
