,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,1006,115,0.07407407407407407,0.14814814814814814,0.1111111111111111,0.5555555555555556,0.07407407407407407,0.037037037037037035
1,2011,183,0.21875,0.3125,0.0625,0.21875,0.125,0.0625
2,3016,255,0.5121951219512195,0.14634146341463414,0.0975609756097561,0.0975609756097561,0.12195121951219512,0.024390243902439025
3,4018,314,0.6136363636363636,0.11363636363636363,0.045454545454545456,0.11363636363636363,0.06818181818181818,0.045454545454545456
4,5022,369,0.72,0.1,0.04,0.08,0.02,0.04
5,6028,436,0.7910447761194029,0.08955223880597014,0.04477611940298507,0.04477611940298507,0.014925373134328358,0.014925373134328358
6,7035,494,0.7931034482758621,0.034482758620689655,0.08620689655172414,0.05172413793103448,0.017241379310344827,0.017241379310344827
7,8039,547,0.8225806451612904,0.04838709677419355,0.04838709677419355,0.04838709677419355,0.016129032258064516,0.016129032258064516
8,9043,595,0.8676470588235294,0.029411764705882353,0.029411764705882353,0.04411764705882353,0.014705882352941176,0.014705882352941176
9,10047,648,0.8888888888888888,0.027777777777777776,0.013888888888888888,0.041666666666666664,0.013888888888888888,0.013888888888888888
10,11244,705,0.8769230769230769,0.015384615384615385,0.03076923076923077,0.046153846153846156,0.015384615384615385,0.015384615384615385
11,12255,764,0.8833333333333333,0.016666666666666666,0.016666666666666666,0.05,0.016666666666666666,0.016666666666666666
12,13265,805,0.8448275862068966,0.034482758620689655,0.017241379310344827,0.05172413793103448,0.017241379310344827,0.034482758620689655
13,14277,842,0.8695652173913043,0.014492753623188406,0.014492753623188406,0.043478260869565216,0.014492753623188406,0.043478260869565216
14,15287,878,0.8533333333333334,0.013333333333333334,0.02666666666666667,0.04,0.013333333333333334,0.05333333333333334
15,16298,897,0.8260869565217391,0.043478260869565216,0.028985507246376812,0.043478260869565216,0.014492753623188406,0.043478260869565216
16,17308,923,0.821917808219178,0.0410958904109589,0.0273972602739726,0.0410958904109589,0.0136986301369863,0.0547945205479452
17,18318,943,0.8181818181818182,0.05194805194805195,0.025974025974025976,0.03896103896103896,0.012987012987012988,0.05194805194805195
18,19328,961,0.85,0.0375,0.025,0.0375,0.0125,0.0375
19,20340,986,0.8804347826086957,0.03260869565217391,0.021739130434782608,0.03260869565217391,0.010869565217391304,0.021739130434782608
20,21350,1007,0.8936170212765957,0.031914893617021274,0.02127659574468085,0.031914893617021274,0.010638297872340425,0.010638297872340425
21,22358,1031,0.875,0.0375,0.025,0.0375,0.0125,0.0125
22,23368,1049,0.8674698795180723,0.03614457831325301,0.03614457831325301,0.03614457831325301,0.012048192771084338,0.012048192771084338
23,24378,1062,0.8690476190476191,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.011904761904761904,0.011904761904761904
24,25388,1075,0.8690476190476191,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.011904761904761904,0.011904761904761904
25,26399,1092,0.8505747126436781,0.05747126436781609,0.034482758620689655,0.034482758620689655,0.011494252873563218,0.011494252873563218
26,27409,1104,0.8571428571428571,0.03571428571428571,0.047619047619047616,0.03571428571428571,0.011904761904761904,0.011904761904761904
27,28419,1120,0.8588235294117647,0.03529411764705882,0.047058823529411764,0.03529411764705882,0.011764705882352941,0.011764705882352941
28,29430,1129,0.8636363636363636,0.03409090909090909,0.045454545454545456,0.03409090909090909,0.011363636363636364,0.011363636363636364
29,30439,1146,0.8829787234042553,0.031914893617021274,0.031914893617021274,0.031914893617021274,0.010638297872340425,0.010638297872340425
30,31449,1160,0.8762886597938144,0.030927835051546393,0.041237113402061855,0.030927835051546393,0.010309278350515464,0.010309278350515464
31,32459,1174,0.9072164948453608,0.020618556701030927,0.020618556701030927,0.030927835051546393,0.010309278350515464,0.010309278350515464
32,33469,1179,0.9042553191489362,0.02127659574468085,0.02127659574468085,0.031914893617021274,0.010638297872340425,0.010638297872340425
33,34478,1190,0.8979591836734694,0.030612244897959183,0.02040816326530612,0.030612244897959183,0.01020408163265306,0.01020408163265306
34,35489,1199,0.9019607843137255,0.029411764705882353,0.0196078431372549,0.029411764705882353,0.00980392156862745,0.00980392156862745
35,36568,1222,0.8932038834951457,0.038834951456310676,0.019417475728155338,0.02912621359223301,0.009708737864077669,0.009708737864077669
36,37746,1291,0.8585858585858586,0.04040404040404041,0.050505050505050504,0.030303030303030304,0.010101010101010102,0.010101010101010102
37,38923,1343,0.8367346938775511,0.07142857142857142,0.04081632653061224,0.030612244897959183,0.01020408163265306,0.01020408163265306
38,40101,1380,0.8846153846153846,0.038461538461538464,0.019230769230769232,0.028846153846153848,0.009615384615384616,0.019230769230769232
39,41277,1410,0.8823529411764706,0.0392156862745098,0.0196078431372549,0.029411764705882353,0.00980392156862745,0.0196078431372549
40,42453,1439,0.8888888888888888,0.046296296296296294,0.018518518518518517,0.027777777777777776,0.009259259259259259,0.009259259259259259
41,43632,1457,0.8899082568807339,0.045871559633027525,0.01834862385321101,0.027522935779816515,0.009174311926605505,0.009174311926605505
42,44810,1476,0.8981481481481481,0.037037037037037035,0.018518518518518517,0.027777777777777776,0.009259259259259259,0.009259259259259259
43,45987,1504,0.905982905982906,0.03418803418803419,0.017094017094017096,0.02564102564102564,0.008547008547008548,0.008547008547008548
44,47164,1523,0.9016393442622951,0.03278688524590164,0.01639344262295082,0.02459016393442623,0.00819672131147541,0.01639344262295082
45,48342,1540,0.9,0.025,0.03333333333333333,0.025,0.008333333333333333,0.008333333333333333
46,49520,1557,0.8983050847457628,0.025423728813559324,0.03389830508474576,0.025423728813559324,0.00847457627118644,0.00847457627118644
47,50304,1571,0.8991596638655462,0.025210084033613446,0.03361344537815126,0.025210084033613446,0.008403361344537815,0.008403361344537815
