,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,1004,97,0.08571428571428572,0.5714285714285714,0.08571428571428572,0.17142857142857143,0.02857142857142857,0.05714285714285714
1,2007,208,0.125,0.7083333333333334,0.08333333333333333,0.041666666666666664,0.020833333333333332,0.020833333333333332
2,3010,251,0.06818181818181818,0.7727272727272727,0.06818181818181818,0.045454545454545456,0.022727272727272728,0.022727272727272728
3,4015,298,0.125,0.7083333333333334,0.08333333333333333,0.041666666666666664,0.020833333333333332,0.020833333333333332
4,5019,333,0.171875,0.703125,0.0625,0.03125,0.015625,0.015625
5,6024,385,0.14925373134328357,0.746268656716418,0.04477611940298507,0.029850746268656716,0.014925373134328358,0.014925373134328358
6,7027,408,0.2,0.6923076923076923,0.046153846153846156,0.03076923076923077,0.015384615384615385,0.015384615384615385
7,8030,432,0.203125,0.671875,0.046875,0.046875,0.015625,0.015625
8,9033,460,0.16363636363636364,0.7090909090909091,0.03636363636363636,0.03636363636363636,0.01818181818181818,0.03636363636363636
9,10040,487,0.2835820895522388,0.6119402985074627,0.029850746268656716,0.029850746268656716,0.014925373134328358,0.029850746268656716
10,11163,519,0.45614035087719296,0.42105263157894735,0.03508771929824561,0.03508771929824561,0.017543859649122806,0.03508771929824561
11,12346,582,0.576271186440678,0.3220338983050847,0.01694915254237288,0.03389830508474576,0.01694915254237288,0.03389830508474576
12,13528,625,0.6486486486486487,0.28378378378378377,0.013513513513513514,0.02702702702702703,0.013513513513513514,0.013513513513513514
13,14710,668,0.6666666666666666,0.2638888888888889,0.013888888888888888,0.027777777777777776,0.013888888888888888,0.013888888888888888
14,15891,707,0.6410256410256411,0.2692307692307692,0.02564102564102564,0.02564102564102564,0.01282051282051282,0.02564102564102564
15,17073,733,0.6578947368421053,0.2631578947368421,0.013157894736842105,0.02631578947368421,0.013157894736842105,0.02631578947368421
16,18254,766,0.7294117647058823,0.18823529411764706,0.023529411764705882,0.023529411764705882,0.011764705882352941,0.023529411764705882
17,19437,792,0.7073170731707317,0.21951219512195122,0.012195121951219513,0.024390243902439025,0.012195121951219513,0.024390243902439025
18,20618,809,0.7567567567567568,0.16216216216216217,0.013513513513513514,0.02702702702702703,0.013513513513513514,0.02702702702702703
19,21801,833,0.7432432432432432,0.17567567567567569,0.013513513513513514,0.02702702702702703,0.013513513513513514,0.02702702702702703
20,22983,852,0.7397260273972602,0.1917808219178082,0.0136986301369863,0.0273972602739726,0.0136986301369863,0.0136986301369863
21,24166,862,0.726027397260274,0.2054794520547945,0.0136986301369863,0.0273972602739726,0.0136986301369863,0.0136986301369863
22,25348,878,0.7349397590361446,0.1927710843373494,0.012048192771084338,0.024096385542168676,0.012048192771084338,0.024096385542168676
23,26530,889,0.7125,0.2,0.0125,0.025,0.0125,0.0375
24,27712,908,0.7,0.2125,0.0125,0.025,0.0125,0.0375
25,28894,925,0.7380952380952381,0.19047619047619047,0.011904761904761904,0.023809523809523808,0.011904761904761904,0.023809523809523808
26,30078,949,0.7283950617283951,0.19753086419753085,0.012345679012345678,0.024691358024691357,0.012345679012345678,0.024691358024691357
27,31263,966,0.7625,0.1625,0.0125,0.025,0.0125,0.025
28,32446,976,0.7764705882352941,0.15294117647058825,0.011764705882352941,0.023529411764705882,0.011764705882352941,0.023529411764705882
29,33628,989,0.7865168539325843,0.14606741573033707,0.011235955056179775,0.02247191011235955,0.011235955056179775,0.02247191011235955
30,34767,1007,0.8241758241758241,0.12087912087912088,0.01098901098901099,0.02197802197802198,0.01098901098901099,0.01098901098901099
31,36081,1052,0.8735632183908046,0.06896551724137931,0.011494252873563218,0.022988505747126436,0.011494252873563218,0.011494252873563218
32,37395,1092,0.8666666666666667,0.07777777777777778,0.011111111111111112,0.022222222222222223,0.011111111111111112,0.011111111111111112
33,38710,1140,0.8723404255319149,0.05319148936170213,0.031914893617021274,0.02127659574468085,0.010638297872340425,0.010638297872340425
34,40023,1170,0.875,0.052083333333333336,0.03125,0.020833333333333332,0.010416666666666666,0.010416666666666666
35,41338,1197,0.8952380952380953,0.047619047619047616,0.01904761904761905,0.01904761904761905,0.009523809523809525,0.009523809523809525
36,42651,1220,0.88,0.05,0.03,0.02,0.01,0.01
37,43964,1247,0.8867924528301887,0.05660377358490566,0.018867924528301886,0.018867924528301886,0.009433962264150943,0.009433962264150943
38,45277,1273,0.9,0.045454545454545456,0.01818181818181818,0.01818181818181818,0.00909090909090909,0.00909090909090909
39,46591,1295,0.9098360655737705,0.040983606557377046,0.01639344262295082,0.01639344262295082,0.00819672131147541,0.00819672131147541
40,47904,1317,0.912,0.04,0.016,0.016,0.008,0.008
41,49218,1332,0.9,0.05,0.016666666666666666,0.016666666666666666,0.008333333333333333,0.008333333333333333
42,50204,1345,0.8983050847457628,0.05084745762711865,0.01694915254237288,0.01694915254237288,0.00847457627118644,0.00847457627118644
