,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,1005,99,0.07692307692307693,0.38461538461538464,0.038461538461538464,0.4230769230769231,0.038461538461538464,0.038461538461538464
1,2012,198,0.2608695652173913,0.5217391304347826,0.08695652173913043,0.08695652173913043,0.021739130434782608,0.021739130434782608
2,3018,298,0.2,0.6,0.1,0.06,0.02,0.02
3,4020,353,0.38,0.46,0.06,0.06,0.02,0.02
4,5024,396,0.38461538461538464,0.46153846153846156,0.038461538461538464,0.07692307692307693,0.019230769230769232,0.019230769230769232
5,6027,446,0.42857142857142855,0.44642857142857145,0.017857142857142856,0.05357142857142857,0.017857142857142856,0.03571428571428571
6,7030,494,0.47692307692307695,0.38461538461538464,0.046153846153846156,0.046153846153846156,0.015384615384615385,0.03076923076923077
7,8033,530,0.5645161290322581,0.27419354838709675,0.04838709677419355,0.04838709677419355,0.016129032258064516,0.04838709677419355
8,9040,565,0.5384615384615384,0.2923076923076923,0.046153846153846156,0.046153846153846156,0.015384615384615385,0.06153846153846154
9,10048,611,0.65,0.18333333333333332,0.05,0.05,0.016666666666666666,0.05
10,11058,652,0.7096774193548387,0.12903225806451613,0.03225806451612903,0.04838709677419355,0.016129032258064516,0.06451612903225806
11,12121,723,0.8095238095238095,0.06349206349206349,0.015873015873015872,0.047619047619047616,0.015873015873015872,0.047619047619047616
12,13184,777,0.8552631578947368,0.039473684210526314,0.013157894736842105,0.039473684210526314,0.013157894736842105,0.039473684210526314
13,14247,866,0.8690476190476191,0.011904761904761904,0.011904761904761904,0.03571428571428571,0.011904761904761904,0.05952380952380952
14,15310,934,0.925531914893617,0.010638297872340425,0.010638297872340425,0.031914893617021274,0.010638297872340425,0.010638297872340425
15,16373,993,0.92,0.01,0.02,0.03,0.01,0.01
16,17435,1029,0.9120879120879121,0.01098901098901099,0.02197802197802198,0.03296703296703297,0.01098901098901099,0.01098901098901099
17,18498,1061,0.9292929292929293,0.010101010101010102,0.010101010101010102,0.030303030303030304,0.010101010101010102,0.010101010101010102
18,19559,1093,0.9270833333333334,0.010416666666666666,0.010416666666666666,0.03125,0.010416666666666666,0.010416666666666666
19,20620,1124,0.9252336448598131,0.009345794392523364,0.018691588785046728,0.028037383177570093,0.009345794392523364,0.009345794392523364
20,21681,1148,0.9322033898305084,0.00847457627118644,0.01694915254237288,0.025423728813559324,0.00847457627118644,0.00847457627118644
21,22746,1177,0.9304347826086956,0.008695652173913044,0.017391304347826087,0.02608695652173913,0.008695652173913044,0.008695652173913044
22,23807,1189,0.9145299145299145,0.017094017094017096,0.017094017094017096,0.02564102564102564,0.008547008547008548,0.017094017094017096
23,24871,1199,0.911504424778761,0.017699115044247787,0.017699115044247787,0.02654867256637168,0.008849557522123894,0.017699115044247787
24,25932,1217,0.9243697478991597,0.01680672268907563,0.01680672268907563,0.025210084033613446,0.008403361344537815,0.008403361344537815
25,26994,1234,0.9210526315789473,0.017543859649122806,0.017543859649122806,0.02631578947368421,0.008771929824561403,0.008771929824561403
26,28057,1244,0.9224137931034483,0.017241379310344827,0.017241379310344827,0.02586206896551724,0.008620689655172414,0.008620689655172414
27,29121,1258,0.925,0.016666666666666666,0.016666666666666666,0.025,0.008333333333333333,0.008333333333333333
28,30183,1269,0.9256198347107438,0.01652892561983471,0.01652892561983471,0.024793388429752067,0.008264462809917356,0.008264462809917356
29,31245,1279,0.9285714285714286,0.015873015873015872,0.015873015873015872,0.023809523809523808,0.007936507936507936,0.007936507936507936
30,32298,1303,0.9285714285714286,0.015873015873015872,0.015873015873015872,0.023809523809523808,0.007936507936507936,0.007936507936507936
31,33739,1384,0.9298245614035088,0.008771929824561403,0.017543859649122806,0.02631578947368421,0.008771929824561403,0.008771929824561403
32,35182,1446,0.907563025210084,0.008403361344537815,0.025210084033613446,0.025210084033613446,0.008403361344537815,0.025210084033613446
33,36623,1508,0.9322033898305084,0.00847457627118644,0.01694915254237288,0.025423728813559324,0.00847457627118644,0.00847457627118644
34,38066,1562,0.9307692307692308,0.015384615384615385,0.015384615384615385,0.023076923076923078,0.007692307692307693,0.007692307692307693
35,39507,1602,0.9318181818181818,0.015151515151515152,0.007575757575757576,0.022727272727272728,0.007575757575757576,0.015151515151515152
36,40947,1627,0.9328358208955224,0.014925373134328358,0.007462686567164179,0.022388059701492536,0.007462686567164179,0.014925373134328358
37,42388,1658,0.924812030075188,0.015037593984962405,0.007518796992481203,0.022556390977443608,0.007518796992481203,0.022556390977443608
38,43830,1683,0.9307692307692308,0.015384615384615385,0.007692307692307693,0.023076923076923078,0.007692307692307693,0.015384615384615385
39,45271,1711,0.9291338582677166,0.015748031496062992,0.007874015748031496,0.023622047244094488,0.007874015748031496,0.015748031496062992
40,46711,1730,0.9407407407407408,0.007407407407407408,0.007407407407407408,0.022222222222222223,0.007407407407407408,0.014814814814814815
41,48152,1746,0.9312977099236641,0.015267175572519083,0.007633587786259542,0.022900763358778626,0.007633587786259542,0.015267175572519083
42,49592,1758,0.9302325581395349,0.015503875968992248,0.007751937984496124,0.023255813953488372,0.007751937984496124,0.015503875968992248
43,50072,1765,0.9307692307692308,0.015384615384615385,0.007692307692307693,0.023076923076923078,0.007692307692307693,0.015384615384615385
